Open,High,Low,Close
122.88,124.07,122.80,124.07
124.07,124.13,123.62,124.03
124.03,124.03,123.16,123.82
123.82,123.82,123.23,123.61
123.60,123.87,123.20,123.63
123.63,123.63,123.09,123.21
123.23,123.63,122.60,123.61
123.61,124.36,123.31,123.43
123.43,123.46,123.00,123.43
123.41,123.90,123.27,123.33
123.33,123.87,123.23,123.45
123.45,124.13,123.17,123.92
123.92,124.39,123.78,124.02
124.02,124.25,123.94,124.01
124.01,124.15,123.50,123.77
123.77,124.29,123.38,123.68
123.68,124.00,123.62,123.99
123.95,124.58,123.93,124.51
124.51,124.97,124.40,124.95
124.95,125.00,124.58,124.91
124.91,125.53,124.51,125.37
125.36,125.46,124.64,124.84
124.85,125.44,124.84,125.03
125.03,125.24,124.86,124.98
124.99,125.12,123.93,124.01
124.01,124.64,123.99,124.61
124.62,125.24,124.47,125.16
125.16,125.24,124.74,124.93
124.93,124.97,124.34,124.41
124.41,124.67,124.04,124.27
124.30,124.47,123.81,123.85
123.85,124.49,123.79,124.31
124.28,124.44,123.87,124.00
124.00,124.39,123.80,124.25
124.25,124.25,123.40,123.42
123.40,123.55,122.75,122.95
122.95,123.01,122.34,122.36
122.36,122.57,121.80,121.83
121.82,122.59,121.80,122.31
122.31,123.07,122.19,122.87
122.87,122.89,122.20,122.41
122.41,122.42,121.84,121.90
121.90,122.43,121.82,122.41
122.41,122.41,121.74,122.06
122.06,122.52,121.85,122.08
122.08,122.20,121.82,121.99
121.99,121.99,121.50,121.61
121.61,121.74,121.26,121.28
121.29,121.74,121.25,121.73
121.73,121.75,121.06,121.64
129.21,129.46,128.79,129.29
129.29,129.40,128.35,128.69
128.72,128.79,128.10,128.34
128.34,128.38,127.70,127.90
127.90,128.74,127.66,128.71
128.71,128.95,128.31,128.49
128.50,128.96,128.07,128.58
128.58,128.80,128.20,128.51
128.51,128.57,126.83,127.07
127.08,127.41,126.26,126.70
126.71,127.36,126.40,126.59
126.59,127.80,126.51,127.77
127.82,128.24,127.71,128.13
128.13,128.42,127.88,128.09
128.09,128.29,127.64,128.03
128.03,128.53,127.45,127.67
127.67,128.35,127.58,128.02
128.02,128.34,127.69,127.86
127.87,128.21,127.02,127.04
127.04,127.14,126.75,126.97
