Open,High,Low,Close,Moving Average 200,Moving Average 50,Exp Moving Average 10,Exp Moving Average 20
305.09,305.37,304.50,305.27,291.96,298.58,303.22,301.84
305.27,305.58,304.57,305.55,292.05,298.79,303.64,302.20
305.55,305.77,305.22,305.44,292.15,299.00,303.97,302.51
305.44,306.43,305.33,306.25,292.25,299.22,304.39,302.86
306.25,306.69,306.25,306.63,292.35,299.44,304.79,303.22
306.63,306.84,306.24,306.46,292.45,299.67,305.10,303.53
306.46,306.65,305.86,306.00,292.55,299.88,305.26,303.77
306.00,306.30,305.46,305.97,292.64,300.11,305.39,303.98
305.97,306.46,304.36,304.43,292.73,300.31,305.22,304.02
304.43,304.72,302.24,302.97,292.81,300.48,304.81,303.92
302.46,303.14,301.78,302.23,292.89,300.66,304.34,303.76
302.24,302.59,301.14,301.56,292.97,300.81,303.83,303.55
301.56,302.04,300.63,301.03,293.04,300.95,303.32,303.31
301.02,301.73,300.48,301.36,293.12,301.10,302.97,303.12
301.37,302.06,300.97,301.67,293.20,301.25,302.73,302.98
301.67,301.95,300.69,301.12,293.27,301.38,302.44,302.81
301.10,302.27,299.47,301.63,293.33,301.51,302.29,302.70
301.63,301.87,301.11,301.41,293.40,301.64,302.13,302.57
301.43,301.58,300.72,301.13,293.47,301.76,301.95,302.44
301.13,303.03,300.95,302.86,293.53,301.93,302.11,302.48
302.86,303.64,300.07,303.57,293.60,302.09,302.38,302.58
303.56,304.58,303.08,303.64,293.68,302.14,302.61,302.68
303.62,304.96,303.32,304.49,293.75,302.21,302.95,302.85
303.63,304.71,303.06,304.21,293.83,302.27,303.18,302.98
304.21,305.09,303.95,304.98,293.91,302.35,303.51,303.17
304.98,305.29,304.66,305.07,294.00,302.44,303.79,303.35
305.07,305.14,304.25,304.52,294.08,302.52,303.92,303.46
304.51,305.08,304.45,305.01,294.17,302.60,304.12,303.61
305.01,305.43,304.71,305.30,294.24,302.68,304.33,303.77
305.29,305.67,305.29,305.50,294.31,302.77,304.55,303.94
305.50,306.11,305.47,306.00,294.39,302.86,304.81,304.13
306.00,306.21,305.76,305.91,294.46,302.96,305.01,304.30
305.91,305.99,305.55,305.56,294.53,303.06,305.11,304.42
305.56,306.04,305.47,305.98,294.60,303.19,305.27,304.57
305.98,306.15,305.41,305.84,294.67,303.31,305.37,304.69
305.84,306.02,305.25,305.58,294.74,303.43,305.41,304.78
306.52,306.60,305.52,306.27,294.82,303.59,305.57,304.92
306.28,307.18,306.28,307.16,294.90,303.76,305.86,305.13
307.17,307.26,305.83,306.39,294.97,303.89,305.95,305.25
306.37,306.41,305.10,305.75,295.04,304.01,305.92,305.30
305.75,306.34,305.57,305.86,295.11,304.13,305.91,305.35
305.84,306.47,305.76,306.46,295.19,304.25,306.01,305.46
306.46,306.55,306.24,306.41,295.26,304.37,306.08,305.55
306.41,306.97,306.38,306.89,295.34,304.48,306.23,305.68
306.89,307.14,306.73,307.06,295.42,304.59,306.38,305.81
307.06,307.19,306.58,306.72,295.49,304.69,306.44,305.89
306.70,306.94,306.15,306.79,295.56,304.75,306.50,305.98
306.79,306.89,306.03,306.43,295.63,304.80,306.49,306.02
306.43,308.13,306.19,308.08,295.70,304.87,306.78,306.22
310.26,310.86,309.94,310.57,295.79,304.98,307.47,306.63
310.58,310.97,310.45,310.92,295.88,305.09,308.10,307.04
310.91,311.36,310.77,311.01,295.97,305.20,308.63,307.42
311.01,311.96,310.97,311.66,296.06,305.33,309.18,307.82
311.66,312.06,311.51,311.72,296.15,305.43,309.64,308.19
311.72,311.74,311.22,311.55,296.25,305.53,309.99,308.51
311.55,311.72,311.19,311.22,296.35,305.63,310.21,308.77
311.23,311.66,311.13,311.55,296.44,305.74,310.45,309.04
311.57,311.67,311.19,311.36,296.54,305.85,310.62,309.26
311.36,312.16,311.30,312.03,296.63,306.00,310.88,309.52
312.03,312.38,311.85,312.13,296.73,306.18,311.10,309.77
312.13,312.69,311.93,312.60,296.83,306.39,311.37,310.04
312.60,313.22,312.04,312.09,296.94,306.60,311.50,310.23
311.12,312.25,310.96,312.09,297.04,306.82,311.61,310.41
312.08,312.66,311.89,312.56,297.15,307.05,311.78,310.62
312.55,313.00,312.39,312.77,297.26,307.27,311.96,310.82
312.78,312.89,311.08,311.38,297.37,307.47,311.86,310.87
311.38,311.84,311.20,311.53,297.49,307.67,311.80,310.94
