Date,Open,High,Low,Close,FW Moving Average 25
4/27/2017,238.74,238.95,237.98,238.60,235.66
4/28/2017,238.93,238.93,237.93,238.08,235.87
5/1/2017,238.66,239.17,238.20,238.68,236.12
5/2/2017,238.82,238.98,238.30,238.77,236.36
5/3/2017,238.29,238.88,237.70,238.48,236.57
5/4/2017,238.81,238.92,237.78,238.76,236.78
5/5/2017,239.16,239.72,238.68,239.70,237.06
5/8/2017,239.77,239.92,239.17,239.66,237.32
5/9/2017,239.94,240.19,239.04,239.44,237.56
5/10/2017,239.37,239.87,239.15,239.87,237.81
5/11/2017,239.31,239.57,238.13,239.38,238.01
5/12/2017,239.05,239.43,238.67,238.98,238.17
5/15/2017,239.49,240.44,239.45,240.30,238.42
5/16/2017,240.64,240.67,239.63,240.08,238.64
5/17/2017,238.09,238.64,235.75,235.82,238.51
5/18/2017,235.70,237.75,235.43,236.77,238.46
5/19/2017,237.36,239.08,237.27,238.31,238.51
5/22/2017,238.87,239.71,238.82,239.52,238.64
5/23/2017,239.98,240.24,239.51,240.05,238.80
5/24/2017,240.33,240.73,239.93,240.61,238.98
5/25/2017,241.22,242.08,240.96,241.76,239.23
5/26/2017,241.59,241.90,241.45,241.71,239.45
5/30/2017,241.32,241.79,241.16,241.50,239.63
5/31/2017,241.84,241.88,240.64,241.44,239.80
6/1/2017,241.97,243.38,241.64,243.36,240.11
6/2/2017,243.45,244.35,243.08,244.17,240.46
6/5/2017,244.02,244.30,243.76,243.99,240.78
6/6/2017,243.34,243.98,243.12,243.21,241.02
6/7/2017,243.61,243.92,242.83,243.66,241.29
6/8/2017,243.80,244.33,243.17,243.78,241.55
6/9/2017,244.07,245.01,241.95,243.41,241.76
6/12/2017,243.09,243.42,242.38,243.36,241.96
6/13/2017,243.98,244.61,243.58,244.55,242.23
6/14/2017,244.86,244.87,243.29,244.24,242.47
6/15/2017,242.69,243.91,242.36,243.77,242.65
6/16/2017,242.83,242.83,241.63,242.64,242.74
6/19/2017,243.61,244.73,243.48,244.66,242.97
6/20/2017,244.23,244.26,242.99,243.01,243.06
6/21/2017,243.46,243.59,242.41,242.95,243.14
6/22/2017,242.96,243.53,242.64,242.84,243.19
6/23/2017,242.88,243.51,242.47,243.13,243.25
6/26/2017,243.93,244.38,243.05,243.29,243.30
6/27/2017,243.01,243.38,241.31,241.33,243.19
6/28/2017,242.51,243.72,242.23,243.49,243.23
6/29/2017,243.62,243.72,239.96,241.35,243.11
6/30/2017,242.30,242.71,241.58,241.80,243.01
7/3/2017,242.90,243.38,242.21,242.21,242.94
7/5/2017,242.61,243.01,241.70,242.77,242.92
7/6/2017,241.86,242.03,240.34,240.55,242.72
7/7/2017,241.18,242.28,240.56,242.11,242.64
7/10/2017,241.98,242.80,241.76,242.37,242.59
7/11/2017,242.12,242.55,240.85,242.19,242.53
7/12/2017,243.31,244.20,243.30,244.01,242.61
7/13/2017,244.02,244.55,243.76,244.42,242.73
7/14/2017,244.40,245.97,244.31,245.56,242.93
7/17/2017,245.44,245.91,245.33,245.53,243.12
7/18/2017,245.06,245.72,244.67,245.66,243.31
7/19/2017,246.01,247.00,246.01,246.99,243.60
7/20/2017,247.25,247.42,246.47,247.10,243.90
7/21/2017,246.43,246.91,246.18,246.88,244.16
7/24/2017,246.81,246.98,246.28,246.82,244.41
7/25/2017,247.70,247.80,247.16,247.42,244.70
7/26/2017,247.78,247.79,247.13,247.43,244.97
7/27/2017,247.96,248.00,245.68,247.20,245.22
7/28/2017,246.70,247.06,246.13,246.91,245.43
7/31/2017,247.38,247.48,246.53,246.77,245.62
8/1/2017,247.45,247.50,246.72,247.32,245.83
8/2/2017,247.47,247.60,246.37,247.44,246.05
8/3/2017,247.31,247.34,246.64,246.96,246.21
8/4/2017,247.52,247.79,246.97,247.41,246.39
8/7/2017,247.50,247.87,247.37,247.87,246.59
8/8/2017,247.49,248.91,246.83,247.26,246.73
8/9/2017,246.46,247.31,246.06,247.25,246.84
8/10/2017,246.30,246.44,243.70,243.76,246.68
8/11/2017,244.00,244.80,243.75,244.12,246.53
8/14/2017,245.55,246.79,245.55,246.54,246.57
8/15/2017,247.00,247.00,246.16,246.51,246.58
8/16/2017,247.09,247.57,246.45,246.94,246.62
